Timestamp,Exchange,Pair,Bid,Ask,Last,Spread,Volume,Change,PricePerUSD
2025-08-05T23:05:27.567Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:06:03.118Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:06:03.313Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:06:03.506Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:06:03.736Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:06:26.584Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:06:27.166Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:06:27.522Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:06:28.067Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:06:28.266Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:06:28.460Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:06:28.650Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:06:56.617Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:06:57.270Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:06:57.685Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
2025-08-05T23:06:58.240Z,MOEX,USDRUBF,,,80.13,,7649,0.18,0.08012999999999999
2025-08-05T23:06:58.439Z,MOEX,Si-9.25,,,81128,,22767,0.14,81.128
2025-08-05T23:06:58.632Z,MOEX,Si-12.25,,,83962,,1087,0.18,83.962
2025-08-05T23:06:58.823Z,MOEX,Si-3.26,,,86964,,7,0.23,86.964
2025-08-05T23:07:26.582Z,RAPIRA,USDT/RUB,80.95707058338606,80.98,,0.028322932695953755,,,
2025-08-05T23:07:27.184Z,GRINEX,USDT/RUB,80.780105494,80.98,,0.24745511877903417,,,
2025-08-05T23:07:27.591Z,GRINEX,USDT/A7A5,80.75,80.967659852,,0.26954780433436165,,,
